,seeds,spotify_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
7854,calm,5PE95gvBBIkzjc8Gs6v8M2,0.227,0.309,4,-8.578,0,0.0328,0.0191,0.32,0.109,0.0394,177.395
7855,calm,4Aaw7XGRKd2baTBfUAzaR2,0.351,0.255,7,-14.803,1,0.0297,0.751,0.0379,0.182,0.0369,154.363
7856,calm,3m2GwxKo9ss1uQHdUJwUKe,0.8,0.121,8,-17.248,1,0.0387,0.836,0,0.1,0.529,109.469
7857,calm,5RyVw8XQJVX5iyjTff7tyr,0.488,0.482,4,-10.288,1,0.0301,0.333,0.0816,0.195,0.24,88.983
7858,calm,6aO85oohIOVojpnMDqyJ3z,0.724,0.175,3,-14.645,1,0.0294,0.8,3.87E-05,0.111,0.345,95.439
7859,calm,5hkdfA87RZvNaxl6XiveOA,0.515,0.835,0,-3.564,1,0.0293,0.00146,0.000235,0.101,0.457,94.015
7860,calm,2rZ4PtkhLqjkrLxIN9acaI,0.278,0.126,0,-17.751,1,0.0335,0.0868,0.00381,0.0903,0.129,137.254
7861,calm,6lIsiadSlK8vIbXNTYrAp4,0.453,0.633,4,-9.159,1,0.0271,0.0022,0.898,0.11,0.0534,99.985
7862,calm,6zqK3fE8uCRLpZLUj9VGci,0.229,0.0326,4,-21.726,1,0.0374,0.939,0.92,0.106,0.257,68.015
7863,calm,4Oi43byFCX7mQrpljRb7Mq,0.42,0.541,9,-8.231,0,0.0527,0.8,0.000419,0.0979,0.271,170.398
7864,calm,6olW9Q4qX8ztoSYLr3UXUp,0.454,0.482,11,-10.802,0,0.1,0.337,0.000159,0.0783,0.415,127.872
7865,calm,0TxtqZHh99mMwc7QtB9PD5,0.495,0.673,2,-7.101,0,0.031,0.0107,6.92E-05,0.0852,0.59,148.022
7866,calm,6c96Nkxc8clVSlWNyvgzdD,0.321,0.0394,8,-23.356,0,0.0349,0.994,0.914,0.106,0.0384,62.229
7867,calm,3aEoeum6W7Tx8N6HZpSr4z,0.39,0.0246,7,-25.253,0,0.0462,0.991,0.9,0.116,0.187,79.106
7868,calm,2yDoMdv32iVEyR8sdkGNRe,0.638,0.518,10,-9.265,0,0.0609,0.381,0.901,0.135,0.536,170.072
7869,calm,2wD8Mg9eJH7VRPsenFyEUt,0.183,0.0481,7,-15.012,1,0.0398,0.908,0.451,0.223,0.135,170.616
7870,calm,7JJp9nIoSFSdPbFYx0gx2C,0.161,0.232,4,-17.383,0,0.0398,0.811,0.709,0.12,0.0355,151.813
7871,calm,756La6nWDta09ROtNohCil,0.592,0.679,1,-7.588,1,0.077,0.612,0.805,0.0935,0.0391,218.115
7872,calm,244vq7ezwWcDHA5vAqQ9zM,0.412,0.406,10,-8.806,1,0.0287,0.87,0.0298,0.11,0.171,116.892
7873,calm,5rg1osNxNnNnSTHSUcFxAs,0.609,0.482,0,-9.454,0,0.0272,0.366,0.78,0.0864,0.419,126.274
7874,calm,1g9I3LWB7UjBpHXdzlROyZ,0.292,0.532,0,-5.661,1,0.0391,0.615,2.03E-05,0.118,0.292,64.901
7875,calm,2pOTuHb05JREGkyx3padAu,0.599,0.444,1,-7.714,1,0.0721,0.55,0,0.118,0.764,155.167
7876,calm,3oFWIUZx9KhR2OfAAroMlE,0.295,0.023,2,-28.167,0,0.0445,0.987,0.903,0.111,0.0504,136.367
7877,calm,1OvuHdfL4bQ048cj3dbXTF,0.555,0.401,7,-11.763,1,0.0254,0.283,0.794,0.105,0.244,100.008
7878,calm,4C7F5zCFfppYauKHjKpC34,0.438,0.462,3,-13.638,1,0.033,0.869,0.915,0.0968,0.452,144.025
7879,calm,2VdL8kdUfed6VWORcgKS4x,0.709,0.436,6,-13.522,1,0.0337,0.225,0.000335,0.0627,0.558,86.522
7880,calm,09g4TuWLxMmrOTt1kzS47Z,0.432,0.0554,2,-22.279,1,0.0395,0.925,0.0749,0.101,0.361,173.944
7881,calm,6Cst3xKupSMS3z1I2EHiS2,0.368,0.0316,2,-29.729,1,0.0741,0.959,0.858,0.11,0.0353,204.608
7882,calm,7FDyoxixibPa7SJIjg7NIp,0.326,0.569,2,-5.953,0,0.0444,0.149,0,0.186,0.165,148.658
7883,calm,4iAMHGeHU0lq108wWK1YX2,0.607,0.522,9,-8.695,0,0.026,0.463,0.94,0.329,0.365,135.146
7884,calm,1NPOSGEdymd97o46wFhdNG,0.28,0.522,7,-11.25,1,0.0552,0.887,0.0536,0.755,0.332,126.913
7885,calm,3pSMxVCbW8uSXtvKO55x15,0.512,0.179,5,-13.722,0,0.0384,0.651,0.944,0.11,0.198,130.495
7886,calm,5si1HF21cwcLfYhh1tCgDJ,0.44,0.416,4,-13.792,1,0.0261,0.293,0.619,0.115,0.38,77.192
7887,calm,4OxzFyX8GHC1nG1TI0Zfn4,0.707,0.942,9,-7.928,0,0.732,0.913,0.0814,0.241,0.797,91.228
7888,calm,3dRt14YuhH9K864uoTNusB,0.662,0.807,0,-6.993,1,0.0278,0.0136,0.083,0.104,0.267,119.994
7889,calm,69wXHS4XJPDvDpOqNcSEHJ,0.618,0.575,11,-8.643,1,0.0283,0.0713,0.443,0.271,0.672,135.05
7890,calm,6hnsqlzBGwnwPhKP4PhUk4,0.453,0.191,4,-15.789,0,0.0318,0.801,0.00708,0.111,0.214,104.989
