,seeds,spotify_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0,intense,6DoXuH326aAYEN8CnlLmhP,0.431,0.906,9,-6.13,1,0.0945,0.0001,0.0001,0.123,0.53,125.459
1,intense,104YdibC7VQy78xAVmgRYr,0.771,0.515,9,-10.456,0,0.0499,0.116,0.000168,0.405,0.343,119.961
2,intense,6xK3sBdRm99g9T8Ov0gjdF,0.18,0.982,5,-4.691,1,0.31,1.36E-05,0.792,0.331,0.0767,81.75
3,intense,3DaC3oRpGInTU0x8DvdSGp,0.467,0.738,1,-13.983,0,0.104,0.0279,0.00384,0.0697,0.317,112.325
4,intense,7EZlzu01NzbR1jWEIDSk5T,0.362,0.961,11,-14.711,0,0.108,0.331,0.00187,0.623,0.137,101.931
5,intense,2tdzFXOsJLLI20QdnSqxr1,0.162,0.858,6,-4.601,0,0.0672,0.0028,0.306,0.316,0.0366,150.862
6,intense,1Nvy8JAL3DrO0a6xdgJSvv,0.315,0.798,7,-7.307,1,0.0441,5.94E-05,0.303,0.372,0.16,109.753
7,calm,1V6qst2zfwpooDT1lfvDis,0.527,0.825,6,-6.771,1,0.0861,0.00309,3.63E-06,0.364,0.192,175.765
8,intense,5j7eOw6dm05O98hHTb58IY,0.477,0.522,3,-7.686,0,0.111,0.443,0,0.0961,0.448,90.309
9,intense,7jmIBvIkPcAR6yzbR7YsJH,0.327,0.961,1,-10.603,0,0.0533,0.00446,0.00939,0.308,0.31,107.484
10,calm,2BdKFeg6MvTXBt51AE0QKc,0.469,0.821,11,-7.369,0,0.0354,0.0884,0.00443,0.365,0.856,95.511
11,intense,6kapmatG5ez3ceZ3dm3DdZ,0.547,0.913,0,-2.017,1,0.0858,0.000993,1.46E-06,0.258,0.417,105.765
12,intense,7dMxExgNTBSHqNV0V4WKQW,0.651,0.702,2,-6.632,1,0.082,0.125,4.92E-05,0.104,0.559,107.149
13,intense,4P8L7wvirsteaEjx4ZdSvd,0.512,0.591,0,-9.688,0,0.0447,0.733,0.00045,0.147,0.525,111.268
14,intense,1VY409A6iWgta1FPxteEUK,0.274,0.47,9,-2.816,0,0.0777,0.00013,5.64E-05,0.289,0.138,140.281
15,intense,5aInZf4Xe3NSAFdOBfzs8G,0.753,0.816,6,-6.539,0,0.121,0.133,0,0.187,0.754,107.956
16,intense,4mmFg7XCbVhPipfZn43AfV,0.646,0.623,7,-6.368,1,0.0748,0.0736,0.000284,0.221,0.669,106.667
17,intense,3mtQQLpGwnIuYMgGADBlGz,0.48,0.978,1,-9.465,0,0.0545,0.000309,0.0146,0.329,0.12,101.955
18,intense,1XWWlu64sNi9jqktYeKH8O,0.36,0.913,6,-3.462,0,0.12,0.000162,0.915,0.504,0.566,123.914
19,intense,3rbMhItJaVu5AE4Tun6BKf,0.4,0.797,8,-8.242,1,0.052,0.000637,0.00416,0.303,0.0958,109.072
