,seeds,spotify_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
20,intense,34cbXKoeiguKS93VAhZoDo,0.37,0.757,10,-6.436,1,0.036,5.22E-05,0.517,0.149,0.28,126.445
21,intense,0BI9BYPVtp65GqNkVCl6tS,0.751,0.599,11,-8.183,0,0.336,0.0387,0.000236,0.426,0.353,95.702
22,intense,3go4CiwXiXbbnHIdNB0s0X,0.706,0.791,4,-3.626,0,0.0466,0.000938,0,0.528,0.693,123.982
23,intense,7ghqgPILO1JUpbL4stxmRx,0.266,0.944,9,-12.986,1,0.0596,0.00339,0.000134,0.86,0.11,154.295
24,intense,2Ur2dqDROT9msE41Xmfpzu,0.461,0.418,0,-7.844,1,0.036,0.00818,0.011,0.102,0.0502,181.426
25,intense,6xFVPBeJqn362oez39JeTR,0.217,0.85,9,-9.47,0,0.0484,0.000301,6.03E-06,0.0766,0.565,95.259
26,intense,6KoRdiUQXtx6NLPNXpRjwM,0.766,0.802,1,-5.272,1,0.159,0.00662,0.00181,0.122,0.627,91.005
27,intense,1FHVu3zdemsz0aH93rt1fi,0.216,0.973,8,-6.265,1,0.169,0.000922,0.0135,0.119,0.128,100.699
28,intense,2SZkDkRzG929gZ3ZiEWyvb,0.506,0.96,6,-3.025,0,0.0529,0.000358,1.49E-05,0.323,0.588,120.929
29,intense,4hcjd8oIwHEog3rU8NEwlT,0.516,0.893,7,-5.499,1,0.0415,1.14E-05,0.171,0.509,0.201,140.034
30,intense,63pdDeLroRpaT5uT805Q8M,0.43,0.741,1,-7.521,1,0.256,0.0717,0.00658,0.188,0.437,85.181
31,happy,0jWINAtES1tAvm0Kf9nnfb,0.29,0.911,7,-3.347,1,0.0699,7.32E-05,0.15,0.275,0.436,173.151
32,happy,31BsXkrrsdHED6NoyP10y7,0.31,0.917,9,-3.326,1,0.0696,0.000135,0.33,0.07,0.712,137.067
33,intense,1iCOvyje16dZLL8vhNiM0X,0.311,0.977,2,-3.334,1,0.0968,0.00247,1.21E-06,0.174,0.31,183.888
34,intense,6To25q7MayaH48LlqHpc5B,0.434,0.804,7,-1.926,1,0.344,0.054,0,0.189,0.327,82.397
35,intense,4KscmBsFFjcfnD3XbYIklO,0.148,0.167,9,-18.333,1,0.0407,0.751,0.723,0.109,0.0374,88.056
36,intense,7F7CERqmywiOol1MZ2LLCU,0.23,0.961,8,-7.136,1,0.0788,5.05E-06,0.143,0.107,0.224,91.96
37,intense,5dVjEdi8hUutQSoEZsBKXr,0.339,0.958,1,-4.162,1,0.115,3.26E-05,0.776,0.303,0.202,125.851
38,intense,1Z4QpJaR0lg1VC2kTvxU3F,0.442,0.945,4,-5.758,0,0.045,4.77E-05,0.33,0.325,0.24,137.815
39,intense,4Hs5Fu5fHNPwHvKAiUXotu,0.5,0.975,10,-5.754,1,0.0954,0.0156,0.0277,0.299,0.266,160.027
40,intense,5vw6gK0JrGzRlegimi2NyB,0.633,0.922,9,-3.675,0,0.24,0.126,0.000666,0.602,0.684,192.876
41,intense,2YrrNuVMvyg6VUZbUccJJe,0.393,0.954,8,-5.13,1,0.0695,0.00037,0.0407,0.0367,0.18,136.025
42,intense,3CwCIfBR5NN0wAzSMd60LD,0.359,0.955,2,-4.28,1,0.155,0.0493,0,0.191,0.292,103.576
43,intense,3LA5kI6ohA91mhyE3E2hyf,0.366,0.927,7,-4.7,1,0.155,0.00774,0,0.135,0.77,138.393
44,intense,7nkE8IOqy4ZYFIjpd3CQMa,0.574,0.921,0,-5.747,0,0.0695,0.00157,0.475,0.669,0.257,121.995
45,intense,5vp9XKEvyeNQN8ltqivspY,0.358,0.988,4,-2.91,0,0.162,1.26E-06,0.786,0.381,0.421,149.003
46,intense,6r6WXQBBKaInF931XEtkqq,0.507,0.871,8,-4.741,1,0.0555,0.00698,0,0.237,0.366,113.028
47,intense,5qUrVPh2XRNuDLkkyAEuNQ,0.893,0.553,4,-4.484,0,0.0535,0.0382,0,0.0467,0.464,100.03
48,intense,6GgRMZPuHb7cPkyWBiSFdf,0.763,0.804,6,-6.205,0,0.314,0.108,0,0.0608,0.885,189.371
49,intense,48gILLQ2dZ55yFjjwaeo4g,0.267,0.982,0,-5.588,1,0.27,1.51E-05,0.000419,0.157,0.248,114.903
50,intense,1lARMueaG2L54SnZNvDDGR,0.449,0.758,2,-6.417,0,0.0419,0.000122,0.000392,0.691,0.183,147.862
51,intense,3UJyOgofFfi8nfG8lgdiOX,0.326,0.93,0,-4.473,0,0.111,1.09E-05,0.125,0.303,0.372,182.169
52,intense,39YjbGD9vvFPh5irbkLN0p,0.431,0.145,4,-20.119,1,0.083,0.942,0.097,0.104,0.328,187.365
53,gloomy,6cHCU4Cc5uRzzydOmmSrNQ,0.444,0.93,1,-4.604,1,0.0892,0.000154,0.00665,0.0738,0.47,145.026
54,intense,4YhA8wCS03e32t61v4D8Ik,0.515,0.865,2,-5.233,1,0.0446,4.45E-05,0.314,0.254,0.357,84.015
55,intense,5i3UbErXhgaTzNQV8olld6,0.51,0.982,6,-4.461,0,0.145,0.00179,2.33E-05,0.197,0.393,148.224
56,intense,72HysEmdT8e89KUYsSRSmN,0.32,0.604,9,-11.595,1,0.0464,0.0367,0.181,0.249,0.0983,113.975
57,intense,1cufbeYwK8LYLX8r63zKup,0.722,0.944,10,-5.071,0,0.0481,0.0262,0.782,0.352,0.327,126.971
58,intense,4xh98RD1TjVR4nHa47iH72,0.816,0.849,11,-4.41,1,0.26,0.0811,0,0.0616,0.844,94.007
59,intense,53T0V3jTJDs3kIqwvlgspI,0.421,0.944,8,-9.179,1,0.302,0.0764,0.815,0.119,0.222,162.179
60,intense,71sC9gVXaFRwAMHJyQO8al,0.479,0.424,4,-10.919,1,0.0404,0.0742,0.91,0.184,0.0473,113.931
61,intense,5VsnTF82gYUCL45RAIiZ2b,0.428,0.0799,2,-15.375,0,0.0397,0.468,8.69E-06,0.102,0.0807,98.075
62,intense,0GFg4tWcxELrTX1NdMYcnx,0.813,0.764,6,-6.906,0,0.292,0.171,0,0.151,0.543,93.027
63,intense,74bcWY7W5InZTUNRmNFnOa,0.276,0.839,5,-7.048,0,0.0806,0.00611,0.041,0.289,0.289,73.988
64,sad,3GkclSNFTsqpTZJhzK9FCy,0.681,0.726,9,-8.421,0,0.0358,0.127,1.93E-05,0.119,0.733,147.925
65,intense,4YvDviJWcOokkv38g2ICHi,0.57,0.273,4,-14.05,1,0.0887,0.627,0,0.194,0.477,124.66
66,intense,720y5muGgQF9WBiCaPmdng,0.537,0.852,10,-5.122,1,0.0353,0.00152,0.0019,0.0957,0.22,100.004
67,intense,2Ji4iQvJH28BCcV7plmNoT,0.556,0.945,1,-3.908,1,0.0327,4.94E-05,0.00065,0.0744,0.617,97.951
68,intense,7sIaoPA2eojewrzyxsRSy4,0.275,0.974,1,-4.352,0,0.271,0.00599,7.26E-06,0.411,0.142,80.303
69,intense,5VYVcGgRxhz39ujXLRB42p,0.464,0.997,4,-4.659,0,0.0872,0.00011,0.197,0.972,0.3,90.98
70,intense,0a6EmpsSuVuOq2zADXmsIj,0.201,0.947,9,-5.841,1,0.072,0.0142,0.0116,0.235,0.453,174.133
71,intense,2ToxqtOk6q4ghdClECUJyW,0.31,0.848,9,-7.566,1,0.0632,0.00215,0.000458,0.309,0.63,187.893
72,intense,6SEWg79MIOSWXaMIOGWdwm,0.744,0.675,9,-7.63,1,0.0603,0.00801,0.164,0.137,0.668,116.016
73,intense,6JeUGJ1lPQriEAwbW1KTuL,0.487,0.905,0,-5.231,1,0.0678,0.0535,0,0.119,0.516,171.949
74,intense,48siH1jXxFAGxwNv71HhpC,0.723,0.828,7,-3.762,0,0.112,0.0404,0.00316,0.0376,0.743,143.996
75,gloomy,4B1f1Gh5ivSZJTA6lwLnae,0.686,0.978,0,-5.008,1,0.0508,0.0167,0.757,0.117,0.415,127.575
76,gloomy,1J6hMtJT298mbMbpjTbUnE,0.438,0.959,7,-6.551,1,0.0467,4.83E-06,0.0973,0.191,0.805,139.988
77,gloomy,6uXR0wIHDSmaVgGzZgW1zq,0.437,0.971,10,-4.497,1,0.213,0.268,0.00131,0.0951,0.196,157.995
78,gloomy,2pd88Mwl8u2Xku2PIzpeh5,0.724,0.566,1,-8.533,1,0.244,0.327,0.000538,0.38,0.162,171.942
79,intense,7CpbhqKUedOIrcvc94p60Y,0.656,0.932,4,-3.405,0,0.0708,0.00347,0.00147,0.144,0.544,130.936
80,intense,5cZqsjVs6MevCnAkasbEOX,0.432,0.884,8,-6.659,1,0.13,0.0127,0.000527,0.166,0.624,108.948
81,intense,1WWgMk8nD79p8VeKFGYrOw,0.431,0.855,9,-4.205,1,0.15,0.00673,0.00114,0.639,0.397,163.014
82,intense,23wfXwnsPZYe5A1xXRHb3J,0.785,0.871,4,-2.692,0,0.265,0.144,0,0.309,0.315,87.248
83,intense,3jS7bB0oXVOwGFZn3aE5NV,0.665,0.834,4,-7.737,1,0.0576,0.21,0,0.452,0.411,105.292
84,intense,6pfdW2NouUI3ZnugM7r0G0,0.47,0.984,1,-3.783,0,0.0939,0.000133,0.000224,0.212,0.0368,130.055
85,intense,68DKrU7sTyDpDA5T3dsOlk,0.478,0.861,0,-6.79,0,0.105,0.0191,0.0396,0.155,0.607,159.846
86,intense,27msmgcdSRniJHfocEf6EH,0.542,0.806,8,-4.973,1,0.0482,0.0021,0.436,0.291,0.333,140.155
87,intense,1x8sna2LV8WQ38NEtN5X46,0.431,0.823,4,-5.219,1,0.0638,4.60E-05,3.45E-05,0.0447,0.271,150.072
88,intense,3S4G4SL15Cp4CvAfmye8um,0.25,0.91,7,-7.363,1,0.155,0.00129,0.553,0.149,0.274,90.835
89,intense,3jnYlchDDAiLzfkPPy12ig,0.46,0.992,5,-3.298,0,0.0818,0.000638,0.866,0.321,0.206,90.877
90,intense,5tYosD9TicWDYO3kAE4ADp,0.527,0.789,9,-8.049,1,0.0694,0.014,0.0133,0.381,0.452,86.137
91,intense,3Hxu3Ey1TV9mZ5XqMXckiS,0.399,0.965,6,-5.901,1,0.143,0.00442,0.0314,0.367,0.174,98.464
92,intense,6CHENx8iqzMwavTIz8s0gm,0.287,0.78,7,-6.493,1,0.0469,0.049,3.71E-05,0.184,0.383,167.278
93,intense,18ohWhzbMCynq5QJ68ifkW,0.81,0.724,4,-6.153,0,0.268,0.127,0,0.306,0.573,101.941
94,intense,3tg6d7ykVICcYCn5Dd5V1c,0.475,0.691,11,-6.96,1,0.0326,0.348,0.0118,0.107,0.347,83.483
95,intense,5Ty1B6gHqh0joQx6ChbxiH,0.553,0.883,7,-7.302,1,0.0618,0.00732,0.0488,0.0599,0.463,136.711
96,intense,07Bw7ACBw1xzhKpXrraskA,0.65,0.641,10,-7.223,1,0.0347,0.0808,0.00397,0.408,0.387,118.229
97,intense,6W9nK2wPyJklgDVf0AQcPO,0.362,0.855,5,-8.806,0,0.0743,0.000143,0.83,0.137,0.215,124.359
98,intense,7lUjs7bf1fjKI8HKhbNp6z,0.382,0.907,10,-6.383,0,0.295,0.127,5.65E-06,0.0915,0.346,183.35
99,intense,0HgTYw2jY3sz8rYG0RpI3f,0.313,0.739,11,-4.873,0,0.0408,0.0301,0.000124,0.334,0.437,66.449
100,intense,48lIoKOJ9KOedV2PKgIfUT,0.271,0.966,5,-4.456,0,0.113,0.00309,0.101,0.757,0.106,93.066
101,intense,55oCxTjsEydILFRdZ9nWaW,0.484,0.791,7,-6.887,1,0.0705,0.00455,0.0844,0.08,0.407,162.163
102,intense,0Jf9d1BEYPcxK8NwGj194O,0.661,0.662,4,-8.88,0,0.0931,0.255,0,0.131,0.825,87.119
103,intense,1boT6T7To8iTK1RyM5xxJy,0.602,0.66,0,-8.935,1,0.032,0.192,0.391,0.203,0.351,98.082
104,intense,0tBbt8CrmxbjRP0pueQkyU,0.724,0.804,11,-4.614,0,0.0448,0.124,0,0.204,0.306,124.987
105,intense,4V0he7zYfJLEjfCDfojToB,0.508,0.757,8,-4.892,1,0.116,0.041,6.88E-05,0.118,0.423,91.344
106,intense,4w7hIjpuEfvMPiyEgdqlf6,0.432,0.939,8,-3.369,1,0.18,0.0104,0,0.227,0.522,177.863
107,intense,4zlGdsGD7D6qECEUOKByjF,0.485,0.926,5,-7.502,1,0.119,0.000293,0.362,0.706,0.276,170.039
108,intense,5tz69p7tJuGPeMGwNTxYuV,0.62,0.574,5,-7.788,0,0.0479,0.569,0,0.19,0.357,100.023
109,intense,7K4agN9Ul3LX0jbC2UxcYs,0.505,0.942,8,-5.843,0,0.0397,7.85E-05,0.00284,0.126,0.624,168.237
110,intense,0yUyPe5c1o5cCyV7aJkz6F,0.684,0.75,0,-7.651,0,0.0457,0.00113,0.201,0.204,0.353,110.028
111,intense,0i5zjBavIn1LsTsh9oh54d,0.231,0.801,7,-11.485,0,0.0695,0.0147,0.874,0.605,0.368,127.486
112,intense,1leooQqy7cYyfJILuQTU6o,0.432,0.815,7,-5.847,1,0.0553,0.00249,0,0.331,0.374,159.989
113,intense,4Hs5Fu5fHNPwHvKAiUXotu,0.5,0.975,10,-5.754,1,0.0954,0.0156,0.0277,0.299,0.266,160.027
114,intense,0vNHCXmNzVa8h54SE3JDm7,0.271,0.959,7,-5.866,1,0.125,0.000256,0.854,0.0858,0.0642,131.846
115,intense,3m2Zd230K68bC4Qe961d9p,0.715,0.0885,9,-20.682,0,0.0521,0.00485,0.00694,0.155,0.544,125.383
116,intense,1icudzJCEUyjOVYzw7emST,0.46,0.921,9,-6.478,1,0.067,6.49E-05,0.643,0.0648,0.566,166.589
117,intense,1nbGN4N63uCQq0pCIs3kIf,0.431,0.543,7,-12.507,1,0.0488,0.354,8.98E-05,0.106,0.619,157.384
118,intense,20oenBXlmwIfK0F3fQIjhM,0.587,0.923,4,-3.05,0,0.441,0.0216,0,0.481,0.0778,142.075
119,intense,5RxKqRKJva5ZcVa0ltdxuX,0.488,0.944,11,-6.076,0,0.0635,0.000281,0.601,0.496,0.3,146
120,intense,7wyVuNCEr1j8NfG1vwMXZp,0.356,0.961,11,-8.787,1,0.127,0.000143,0.302,0.806,0.267,188.256
121,intense,3nnvMbieuZH3L3caIRdpjk,0.32,0.739,11,-8.375,1,0.0502,0.000127,0.749,0.21,0.24,114.053
122,intense,24CeaRaJHiMKFAVZTCu8Y0,0.376,0.988,5,-2.375,1,0.216,8.82E-05,6.36E-05,0.346,0.507,192.153
123,intense,1Ra0py3DxQ2dcWHXhd9wq6,0.454,0.864,11,-4.05,0,0.0606,0.000163,0.0339,0.195,0.398,131.231
124,intense,3lMiBDoKSRJfSrP6mLqGut,0.645,0.897,9,-3.834,1,0.142,0.000739,0.0659,0.0761,0.482,105.99
125,intense,3eZixQQs5gHPeAflvjhc7E,0.143,0.911,1,-3.127,1,0.15,7.77E-05,0.00767,0.102,0.447,187.37
126,intense,5Lz1McQQFKqJ16WZTcgXLh,0.397,0.991,11,-2.883,1,0.0835,0.00299,2.01E-06,0.0487,0.207,165.003
127,intense,1UWRqfZoYYONXB1Azj9OKv,0.269,0.846,2,-13.391,0,0.0386,0.243,0,0.906,0.278,85.115
128,intense,5EkrUmvBT9HY1jtVXbRgCp,0.462,0.929,3,-3.217,1,0.168,0.031,0,0.298,0.805,168.914
129,intense,3u13MyusqSsMVegpADUHHP,0.549,0.864,7,-6.615,1,0.0445,0.179,0.00024,0.158,0.594,104.745
130,intense,32yottFNSCL9Nho9biIKzY,0.692,0.4,10,-9.767,0,0.0349,0.212,1.55E-05,0.559,0.328,130.228
131,intense,2yQkUV0EEDMfHQ3BqkcrOa,0.394,0.639,6,-4.833,0,0.039,0.00463,0.0152,0.111,0.212,172.95
132,intense,3IaAYtmN8T0YIYVqnxNnVz,0.612,0.797,1,-3.648,1,0.448,0.064,0,0.257,0.358,81.086
133,intense,34ebeHWIGQrAt99L1R2Kyn,0.584,0.774,9,-5.867,0,0.0351,0.0875,2.20E-06,0.322,0.181,100.018
134,intense,70gH71Zh5NQCBFPp0C434B,0.529,0.94,6,-6.319,0,0.0666,7.24E-05,0.766,0.0945,0.132,126.028
135,intense,0aHWzIvtnkG3FVcBoFQ6BG,0.509,0.978,2,-4.017,1,0.147,5.69E-05,5.14E-06,0.0872,0.201,102.866
136,intense,3Zo6R22retEhAnQBbam5As,0.314,0.505,4,-9.406,0,0.0737,0.207,0,0.0843,0.237,167.467
137,intense,0ejUFFiCGm9saVFAirRSuw,0.521,0.818,9,-4.261,1,0.0355,0.0015,0,0.238,0.539,113.094
138,intense,5exHP9IYyaFSeQ5Y4OtbKb,0.453,0.303,9,-13.748,0,0.0424,0.836,1.48E-05,0.0937,0.213,123.223
139,intense,0vyoxWYsDYduwnYuiEHOZg,0.488,0.958,2,-6.114,1,0.0464,0.000288,0.0539,0.553,0.426,90.04
140,intense,31LqHjk6Ya9sH4jJPBrTgu,0.556,0.679,1,-8.015,1,0.497,0.155,0.0927,0.269,0.221,74.062
141,intense,6PGUgfU3ZB7BpRxUOtdiuu,0.384,0.803,9,-4.71,1,0.0388,0.265,2.04E-06,0.144,0.698,160.48
142,intense,3hgzEGrm5iTY6pkgJ827qX,0.545,0.979,4,-3.875,1,0.0914,0.00015,1.10E-06,0.684,0.8,115.003
143,intense,0fcGdkaMVaJtPuYLB6bXRx,0.362,0.979,4,-4.262,0,0.205,0.00022,0,0.459,0.195,89.431
144,intense,4IOTgPMdeLyoHicxxMo2aN,0.385,0.737,5,-6.246,1,0.106,0.000982,0.0172,0.113,0.532,79.659
145,intense,7uNV9LjVf5R3eVoRao44UK,0.518,0.671,5,-8.794,1,0.063,0.366,0.0032,0.172,0.46,109.697
146,intense,36YJWsgSCEMFsv9Y2jxI4U,0.387,0.822,9,-8.001,0,0.0316,3.10E-06,0.319,0.416,0.541,152.338
147,intense,4AtmALMF0y7ttIykE7Z1B0,0.248,0.94,4,-4.235,1,0.312,0.00179,0,0.26,0.59,185.604
148,intense,0SqgZ5KpfX24W8ZeGzOle2,0.526,0.84,11,-4.159,1,0.0342,0.00292,0,0.272,0.433,93.972
149,intense,04IgJXw7Wq1lDLefyMAUAC,0.208,0.854,9,-4.553,1,0.156,0.00571,2.01E-06,0.0876,0.114,87.436
150,intense,2P5OwB19yivBQE1tHGGiv8,0.293,0.946,1,-4.23,0,0.277,0.0317,0,0.468,0.311,155.009
151,intense,5W4eJ7KPOmruHn8BJPnoaj,0.304,0.938,1,-4.331,1,0.228,0.000568,0.0126,0.32,0.377,142.244
152,intense,2p4UgJyKiJ3ghPriYJi5Cw,0.316,0.835,11,-7.007,0,0.131,0.0018,0.00235,0.0772,0.149,109.578
153,intense,5PlYCPa9eV21gJcK5cQiZi,0.67,0.697,5,-6.302,1,0.378,0.0309,0,0.327,0.367,83.326
154,intense,1HLbeCJcoW6Bo9xNgWXlSO,0.492,0.945,3,-4.968,0,0.126,0.0233,0.182,0.133,0.66,121.606
155,intense,5CyzIHM2IRSLz2Ke9hWwjz,0.475,0.703,4,-4.135,0,0.0393,0.00946,0.0911,0.203,0.203,114.297
156,intense,5HICwAHgma4z0SxPxusZ16,0.653,0.987,5,-3.339,0,0.0576,0.000625,0.00122,0.346,0.425,119.827
157,intense,6p7ZbJJMdpoddBmv0HbBHG,0.501,0.965,1,-3.8,0,0.153,0.000335,0,0.0554,0.412,180.15
158,intense,4GfhaqyXVJVRvwfC4NKlHB,0.644,0.781,10,-6.572,0,0.347,0.356,0,0.374,0.96,75.832
159,intense,7kHqtJoznzbdEfw79DVa5Y,0.588,0.965,11,-4.35,1,0.103,0.00235,0,0.134,0.427,98.019
160,intense,2UVPkh6lrARjYDK42jC6kD,0.31,0.472,9,-15.434,0,0.035,0.0143,4.41E-05,0.293,0.36,80.278
161,intense,0zLcFLRTPMwwo2dULiV2k0,0.338,0.879,7,-2.652,1,0.0428,0.1,1.69E-05,0.226,0.759,187.295
162,intense,109Reh7np1btqIGNbVTAq3,0.436,0.951,11,-3.383,1,0.116,1.37E-05,0.712,0.0771,0.285,155.977
163,intense,3yvsHpMQf3C6xZGq7bu9c6,0.291,0.845,6,-4.106,1,0.0714,0.000244,0.000344,0.0726,0.322,101.912
164,intense,1rWv1GWbyv9LMXRu3zOo55,0.512,0.782,7,-7.634,0,0.0516,0.0754,0.241,0.0936,0.686,123.526
165,intense,0hBUJnl3R6Fhr8jVqqA01c,0.306,0.849,10,-5.355,0,0.0502,3.66E-05,0,0.126,0.372,166.693
166,intense,2nZdhNwhvoaUIDqPG9rtz1,0.338,0.425,0,-15.989,1,0.0357,0.0481,0.123,0.305,0.51,150.714
167,intense,7m6UCpVtgKo01gbzmzHofx,0.395,0.937,9,-3.666,1,0.148,0.00173,3.25E-06,0.196,0.557,161.996
168,intense,3g8K7XowSG6BXbGXDk24ho,0.644,0.499,2,-16.819,0,0.921,0.519,0,0.385,0.263,161.977
169,intense,5dmIlDC9WT84BmwK2h8ZmI,0.509,0.974,7,-3.06,1,0.144,0.00158,0,0.134,0.584,149.933
170,intense,1NYiFG8cdKEVDO0ZowYi3j,0.188,0.807,9,-14.537,1,0.109,0.296,0.984,0.946,0.285,109.682
171,intense,7eK3fdGXCmhGfE8dKtETQU,0.802,0.947,10,-2.868,1,0.311,0.518,0,0.346,0.444,112.416
172,intense,36YJWsgSCEMFsv9Y2jxI4U,0.387,0.822,9,-8.001,0,0.0316,3.10E-06,0.319,0.416,0.541,152.338
173,intense,6jXrlEipTpnPbvbRi56iJV,0.37,0.415,2,-5.458,1,0.036,0.403,0,0.123,0.24,176.455
174,intense,6s4kWgzQwsueo3mfllY1s6,0.682,0.92,10,-1.544,1,0.278,0.177,0.00158,0.0443,0.835,82.228
175,intense,20QoUUjUE4MW8eWCSeUGhX,0.362,0.979,5,-4.192,1,0.215,0.0126,5.20E-06,0.309,0.254,171.22
176,intense,44ETQCGE31ypmEc5ut3WMe,0.631,0.682,6,-9.143,1,0.0287,0.0998,0.77,0.0344,0.871,102.055
177,intense,5T2hX4dfBoJCG3hal07zmC,0.441,0.91,6,-4.292,0,0.0766,0.000156,0.0258,0.157,0.317,134.84
178,intense,1XvAsK3kDB6dHpcQaexprf,0.356,0.941,11,-4.341,1,0.124,0.000771,0.00549,0.376,0.296,148.073
179,intense,4oNqHXaoXGU0ABoD3uMxy1,0.545,0.876,5,-5.232,1,0.0395,0.000107,0.00606,0.218,0.392,105.9
180,intense,1QLr6gymdozD537PWqepBf,0.443,0.993,7,-2.667,0,0.178,0.000178,1.41E-05,0.323,0.186,167.739
181,intense,5jUdR6DffeWrQIAMSqcJFT,0.46,0.928,1,-4.756,1,0.0951,0.0459,0,0.327,0.695,157.644
182,intense,6elAPS2vWCc0uVIUCEk8cQ,0.227,0.795,0,-6.217,1,0.043,4.46E-06,0.307,0.3,0.365,121.922
183,intense,6m3kJ6d7Ypd1eoBoGP2qZN,0.315,0.311,10,-9.233,1,0.032,0.482,1.42E-06,0.44,0.184,116.404
184,intense,4J0kN8QS2esY6cWBsFjtW9,0.395,0.698,2,-6.244,1,0.0573,0.334,6.44E-05,0.155,0.455,124.66
185,intense,6Z3pIqEp5n5faSopwto0tB,0.305,0.727,0,-5.116,0,0.0394,0.0536,0.000179,0.139,0.716,177.227
186,intense,74HblpHxO9ua5tvjbDJgJs,0.308,0.537,0,-11.115,1,0.0447,0.124,0,0.0812,0.322,132.942
187,intense,7hOFKk2V246pFOnnQ8DfDJ,0.196,0.977,2,-3.452,0,0.156,0.000235,4.28E-06,0.387,0.32,186.083
188,intense,67vYdAAM3oGsEImCRfbtsF,0.376,0.908,4,-3.793,0,0.0879,1.40E-05,1.40E-05,0.241,0.266,144.581
189,intense,1yGdDVCH0xg9Zp80Cc4Bsk,0.384,0.933,5,-7.013,0,0.0399,0.000363,0.419,0.0488,0.645,162.371
190,intense,04leA7jvIChw3Z1wX1wcxZ,0.371,0.844,7,-6.555,1,0.39,0.0273,0,0.693,0.212,83.19
191,intense,7j0nWiNXw3Ncq69NxT4k6s,0.321,0.855,11,-11.502,0,0.0637,0.000779,0,0.109,0.528,170.322
192,happy,3K4vpKd9rmr8YQw8rMoEE5,0.626,0.43,10,-8.652,1,0.0773,0.509,0.00291,0.111,0.344,127.529
193,intense,4ezKOXvuzg5LNf1NrYpwvS,0.941,0.444,0,-7.91,1,0.168,0.174,3.33E-05,0.267,0.746,106.011
194,intense,1sxOACEZ2xAMRB0TLaCwIl,0.497,0.951,9,-6.571,0,0.083,0.000306,0.205,0.244,0.617,147.871
195,intense,616HBAgKMaB5uQgWa594Um,0.376,0.924,11,-3.147,0,0.0752,0.0112,0.00247,0.17,0.341,144.526
196,intense,1eA9ZY4tn6XoMNz3q2lfhw,0.612,0.857,0,-5.292,1,0.04,0.00815,0.00023,0.34,0.518,137.969
197,intense,4ahPtPyoi6Ft9r0Hf1xS9v,0.647,0.88,1,-3.764,1,0.295,0.0744,0,0.491,0.441,151.937
